ARTICLE_TITLE	PUBLICATION_TITLE	ARTICLE_TEXT	CLUSTER_NUMBER	CLUSTER_LABEL
A new step for our US alliance	The Australian	But Mr Albanese’s speech on Mr Biden harks back to old politics In a farewell call ahead of the Thursday (Australian time) transfer of power in Washington, Scott Morrison and outgoing US Secretary of State Mike Pompeo fittingly “affirmed the unbreakable bond that exists between the US and Australia”. Their joint commitment that both nations will “continue working together to deepen and broaden the US-Australia alliance” reflects the great success of the relationship under the Trump administratio	1	coronaviruses covid19; social networks; demonstrations protests
Helping older people stay home is money well spent	The Australian	But many are being forced into nursing homes for lack of support At the outset of inquiries by the Royal Commission into Aged Care Quality and Safety, former commissioner Richard Tracey, who died in October last year, said the hallmark of a civilised society was “how it treats its most vulnerable people, and our elderly are often among our most physically, emotionally and financially vulnerable. Frail and elderly members of our community deserve to, and should, be looked after in the best possib	1	coronaviruses covid19; social networks; demonstrations protests
Welfare reform is well overdue	The Australian	But taxpayers shouldn’t have to fork out more billions for the benefits Giving the unemployed the best chance and encouragement to find work, at least cost to taxpayers, is one of the most important tasks of government. And when more than three million Australians are still dependent on JobSeeker or JobKeeper, it is critically important. News the government is considering replacing the old Newstart payment, badged JobSeeker since March last year, with a streamlined payment replacing other low-va	4	pandemics covid19; employment pandemics; coronaviruses employment
Rebuilding confidence in construction sector is vital	The Australian	Buyers are entitled to know about builders’ track records Public confidence about investing and living in high-rise apartments has taken a battering in recent years. After 72 people died in London’s Grenfell Tower fire disaster in July 2017, concern about combustible cladding on high-rise buildings quickly spread to Australia. About 500 buildings in Victoria were found to need rectification to remove flammable cladding, and similar numbers were discovered in NSW. Concerns escalated in late 2018 	1	coronaviruses covid19; social networks; demonstrations protests
Dangers of Easter complacency	The Australian	By flattening infection curve we’re taking pressure off ICUs The good news is the COVID-19 epidemiological curve is flattening in Australia. Chief Medical Officer Brendan Murphy said on Tuesday, however, that it’s too early to tell whether this welcome trajectory will be significant or sustained. So the clear message from the national cabinet is social distancing must continue and Australians should stay at home and not undertake unnecessary travel over Easter. Scott Morrison said hitting the ro	5	disease transmission; transmission covid19; coronaviruses pandemics
NBN shovel-ready for jobs of today and the future	The Australian	COVID has made fast broadband a must for home workers The Morrison government has pitched its $4.5bn upgrade of the National Broadband Network as a shovel-ready jobs measure and much-needed technology response to a new work-at-home era ushered in by the COVID-19 pandemic. Given the history of the NBN, critics have wasted no time in claiming the Coalition messed up in not accepting the Rudd government’s initial proposal for a national rollout of fibre-to-the-home from the outset. While always str	4	pandemics covid19; employment pandemics; coronaviruses employment
Time bomb in the Third World	The Australian	COVID-19 crisis could be overtaken by greater catastrophes In the present global economic environment, UN Secretary-General Antonio Guterres doubtless will struggle to get the $US2bn ($3.3bn) he believes is needed urgently to help combat coronavirus in the developing world. But it will be a pity if the international community ignores his warning about the “ticking time bomb” the pandemic presents across vast areas of medically under-resourced Africa, the Middle East, Asia and Latin America, and 	3	pandemics covid19; coronaviruses pandemics; vaccines coronaviruses
Until the facts are known, China is under suspicion	The Australian	COVID-19 will alter strategic dynamics as well as economies China’s ambition to be a respected member of the international community of nations will unravel further if it does not heed growing calls to “come clean” over the genesis and spread of the COVID-19 virus. Transparency, as Foreign Minister Marise Payne said on Sunday, is vital. Beijing, if it does not want to be regarded as an ongoing danger to world health, should accept her suggestion for an independent global review, outside the untr	10	coronaviruses pandemics; pandemics covid19; medical supplies
Colour the garden in winter with camellias	Bay of Plenty Times	Camellias are NOT old fashioned and suit Tauranga gardens very well. They are excellent to use as backbone planting and for colour in the dreary winter months and are wonderful all-purpose easy to grow, versatile shrubs that look good all year round. The camellia varieties of today are much better than the old ones from years gone by. Many can be espaliered along fence lines to give a soft touch to ugly wooden fences. Planted as backbone shrubs to give a wonderful green foil and pretty flowers i	1	coronaviruses covid19; social networks; demonstrations protests
RBA finally recognises a glass-half-empty economy	The Australian	Canberra and Martin Place are in step on virus responses Tuesday’s monetary policy decision by the Reserve Bank of Australia takes official interest rates into new territory. At 0.5 per cent, the cash rate is a whisker away from the unconventional printing-money responses that would signal a full-blown economic and financial emergency. The RBA could not stand in the way of the market herd and the changed sentiment among the globe’s top central bankers as the coronavirus outbreak threatens to wre	1	coronaviruses covid19; social networks; demonstrations protests
Dr Phil urges Australia to spend, invest and believe	The Australian	Canberra is watchful, but RBA chief sees better days soon In his first major address for the year, Reserve Bank governor Philip Lowe came roaring out of the blocks with an upbeat message to fire up consumers and investors. Perhaps the Morrison government will break out of its defence posture, alert but not alarmed about the economic outlook. Dr Lowe maintained that the central bank’s outlook for GDP growth — 2.75 per cent this year, 3 per cent next year — was achievable. Still, drought, bushfire	8	gross domestic; domestic product; product gdp
Post-pandemic Team Australia	The Australian	Canberra on its own can’t carry a new productivity agenda The pre-pandemic economy is a foreign country. We did things differently there. COVID-19 has stress-tested our institutions and health systems; they held up well, especially in suppressing contagion. But the medical response has taken a toll in job losses, business failures and shattered confidence. As we reanimate commerce in the months ahead, the nation needs to reduce what Scott Morrison sees as a productivity-sapping “sclerosis”. On T	9	hotels motels; economic reform; motels quarantine
Phasing out wild wet markets	The Australian	Canberra’s case for urgent and decisive action is compelling Scott Morrison was right to emphasise that his campaign against wildlife wet markets “has never been directed only to one country”. The markets, the Prime Minister said on Wednesday, “exist in many places, just as the next pandemic could come from any country in the world”. That is a grim reality which all 194 World Health Organisation members must recognise as they prepare for next month’s scheduled World Health Assembly. As Amanda Ho	3	pandemics covid19; coronaviruses pandemics; vaccines coronaviruses
Invest in the real economy to close indigenous gaps	The Australian	Cape York’s natural advantages have much to offer markets Years before Kevin Rudd launched the Closing the Gap process in 2008, the need for indigenous people, especially those in remote communities, to overcome welfare dependency and despair through participation in the real economy was clear. The goal was emphasised by the nation’s wisest and most far-sighted indigenous leaders. In supporting their aspiration, The Australian has backed indigenous involvement in mining and workforce programs fo	1	coronaviruses covid19; social networks; demonstrations protests
Vale to a timeless, creative spirit	The Australian	Carla Zampatti’s was the quintessential Australian migrant success story. As a child in 1940s Italy, “amid the mountains and sparkling lakes of Lombardy not far from the Swiss border’’, she wrote in her autobiography, she created an imaginary dress shop in the family attic. School and farm work finished for the day, she would sketch her latest creations: “Strange as it may seem, in all that playtime, I never thought of myself as just the dressmaker, mimicking other people’s creations,’’ she wrot	1	coronaviruses covid19; social networks; demonstrations protests
NSW-Victoria border ban is deja flu all over again	The Australian	Chairman Dan inflicts further economic and social damage More than 100 years ago, NSW unilaterally closed the border with Victoria. It was January 1919, during the Spanish influenza pandemic, and a soldier who had arrived in Sydney by train from Melbourne was diagnosed with pneumonic influenza. After he infected staff, patients and visitors at a military hospital, NSW officials closed the border without warning. People were stranded on both sides, quarantine tent camps were erected; the marooned	5	disease transmission; transmission covid19; coronaviruses pandemics
Fiscal prudence and reward for effort are always in style	The Australian	Challenges of the GFC and the pandemic are not the same Given the high level of debt-funded spending contained in the federal budget, it has become fashionable to declare that we are all Keynesian economists now. ABC television presenter Leigh Sales went so far as to suggest the budget measures had shown the federal government was “dishonest and cynical” in its attacks on Labor’s response to the global financial crisis. This view reflects lazy thinking and partial knowledge rather than objective	8	gross domestic; domestic product; product gdp
Green bank confused about aim	The Australian	Cheap wind and solar technology don’t need further government help Australia’s $10bn green bank experiment, the Clean Energy Finance Corporation, comes complete with all of the distortions and compromises that illustrate why picking business winners is no place for government. Conceived by the Gillard Labor-Greens alliance in 2012, the CEFC was established to provide finance for renewable energy projects when backers were hard to find. The concept was that a pool of government funds could help t	2	climate change; national security; environmental policy
Defunding police a crazy move	The Australian	Chicago killings show how vulnerable minorities would be After George Floyd’s killing, there can be no doubt about the need for effective police reform in America, particularly when it comes to the all-too-often brutal behaviour of individual officers. But the growing clamour by the Black Lives Matter movement and so-called progressives to defund the police and replace them with what would be akin to warrior-turned-guardian social workers could hardly be wider of the mark in a country perenniall	2	climate change; national security; environmental policy
Smug premiers eat humble pie	The Australian	Childish rivalry between states over COVID-19 is damaging Three weeks ago, when NSW Premier Gladys Berejiklian noted that state border closures were undermining the national economy, she drew a barrage of flak from her more parochial interstate counterparts. Queensland’s Annastacia Palaszczuk and Western Australia’s Mark McGowan were insufferably smug. Queensland, Ms Palaszczuk said, was “not going to be lectured to by a state that has the highest number of (COVID-19) cases in Australia”. In her	1	coronaviruses covid19; social networks; demonstrations protests
Clock ticking on gender clinics	The Australian	Children and teenagers can be deemed competent to consent to medical treatment without parental approval under the common law Gillick rule. With minimal court supervision, that rule applies to life-altering medical treatments for under-18s in children’s hospital transgender clinics. In England, use of the Gillick rule in gender clinics faces a challenge, with a High Court judge granting a full hearing for a “plainly arguable” case that minors cannot give informed consent to treatments such as pu	1	coronaviruses covid19; social networks; demonstrations protests
Countering United Front’s meddling, spying and theft	The Australian	China Inc is exploiting our open society for political warfare Launching an overhaul of foreign investment screening, Scott Morrison said geopolitics meant deals could not rest on commercial aspects alone. Instead, they would also be judged on strategic and national security issues. From next year, all foreign proposals relating to sensitive businesses — telecommunications, critical infrastructure, defence supply chain, cyber-related technology, businesses that collect, store and own data, aspec	6	political campaigns; diplomatic consular; consular services
Mockery made of human rights	The Australian	China and Russia only reveal their anxiety about international norms First Russia and now China have targeted Australia over the undeniably serious allegations of the Brereton report that our special forces were responsible for the murder of 39 Afghan citizens and prisoners. “This is a truly shocking report,” Russian Foreign Ministry spokeswoman Maria Zakharova said. China’s Foreign Ministry spokesman, Zhao Lijian, also has expressed his ostensible shock, tweeting a fake photo — supposed to repr	2	climate change; national security; environmental policy
Duterte risks regional security	The Australian	China will gain if The Philippines scraps its pact with the US With much at stake for The Philippines and its regional partners, including Australia, President Rodrigo Duterte should rethink his risky decision to scrap the key security pact that has long underpinned the US alliance with Manila. Abrogation of the 1998 Visiting Forces Agreement, as US Defence Secretary Mark Esper warned, would be a gift to China as it flexes its muscle in the South China Sea and seeks to displace the US as the reg	2	climate change; national security; environmental policy
Killing Hong Kong’s autonomy	The Australian	China’s crushing of the territory will extract a high price Washington’s declaration that Hong Kong no longer enjoys a “high degree” of autonomy from China points to the likely economic impact of Beijing trampling over the territory’s prized democratic freedoms. The formal announcement by Secretary of State Mike Pompeo opens the way for Donald Trump to impose sanctions that could destroy Hong Kong’s position as a global business hub and the preferred base of many US and other Western companies a	1	coronaviruses covid19; social networks; demonstrations protests
Nation on coronavirus alert	The Australian	China’s disclosure that the new coronavirus discovered in Wuhan can be spread through human-to-human contact adds urgency to the need to prevent it from reaching our shores. A Brisbane man returning from China was placed in quarantine but deemed on Tuesday not to be a public risk. Chief Medical Officer Brendan Murphy’s announcement that passengers on the three direct flights from Wuhan to Sydney each week will be subjected to triple health checks is a sensible start. With 160 flights landing in 	1	coronaviruses covid19; social networks; demonstrations protests
Huawei dials up security risks	The Australian	China’s global offensive on 5G is insidious and destabilising China’s ambassador Cheng Jingye was dead right when he labelled Canberra’s ban on Huawei from a role in our 5G network “discrimination”. We take the word to mean good judgment rather than racial profiling. The 2018 decision by the Turnbull government was based on an assessment by security agencies that the Chinese tech giant was a “high-risk vendor”. As current ASIO director-general Mike Burgess, then Australian Signals Directorate ch	6	political campaigns; diplomatic consular; consular services
Virus hits students and tourists	The Australian	China’s troubles are a reminder that benefits come with risk The scale of threat from the latest coronavirus originating in China is a rapidly unfolding story. Almost 3000 infections have been declared in mainland China and it has spread elsewhere in the Asia-Pacific, including Australia, as well as to Europe and the US. It appears those without symptoms can pass on the virus. China’s Health Minister, Ma Xiaowei, has suggested it is becoming more infectious, although it’s not yet clear how easy 	2	climate change; national security; environmental policy
Myanmar’s civilian killings rise	The Australian	Chinese and Russian support is crucial to the nation’s ruling junta The Myanmar army’s massacre on Saturday of what is believed to be well over 100 unarmed civilians underlines the need for urgent international action to halt the unrelenting bloodbath being perpetrated by the generals. Scenes of appalling depravity were witnessed in more than 40 towns and villages as soldiers ruthlessly gave effect to a warning that pro-democracy protesters on so-called Army Day would be shot on sight “in the he	1	coronaviruses covid19; social networks; demonstrations protests
Tough scrutiny is necessary on all foreign investment	The Australian	Chinese firms should not build the Victorian police headquarters Treasurer Josh Frydenberg has made the right decision to block a Chinese government-backed bid for a construction company with sensitive building projects in Australia. Rejecting foreign investment is always a difficult decision for any country that relies heavily on global markets and has grown rich through the use of foreign capital. The decision to block China on security grounds will no doubt add to tensions with our biggest tr	2	climate change; national security; environmental policy
Quad summit a historic step in collective security	The Australian	Chinese leaders have stepped up their aggressive rhetoric in Beijing Chinese leaders attending the annual National People’s Congress in Beijing will be well aware of the historic first summit of leaders of the Quadrilateral Alliance. If they ever seriously doubted the determination of major democracies to stand up to Chinese belligerence and bullying, especially in our region, it will be demonstrated when US President Joe Biden and prime ministers Narendra Modi of India, Yoshihide Suga of Japan 	1	coronaviruses covid19; social networks; demonstrations protests
Celebrating the migrant mosaic	The Australian	Chinese-Australians speak with a multiplicity of voices Graham Lloyd’s series on the ethnic Chinese in Australia is a compelling reminder that there is rarely such a thing as a monolithic migrant community. It’s true that the number of Chinese-born people living here began to increase rapidly not long before China under President Xi Jinping took on more chauvinistic and authoritarian features. But the Chinese presence in Australia has a long history and it is to be hoped that today’s troubles wi	1	coronaviruses covid19; social networks; demonstrations protests
States muddle students’ return	The Australian	Choice matters, but schools should be nudged to open up The jumble of messages from the education sector is worrying parents as their children gear up for term two, which is under way in some states and about to start in others. The advice from Chief Medical Officer Brendan Murphy and the Australian Health Protection Principal Committee has been consistent from the outset of the coronavirus pandemic; that is, schools should be open and have strict social-distancing measures in place. It was unde	7	prime ministers; politics prime; parents parenting
Rape allegation from 33 years ago is unresolvable	The Australian	Christian Porter will be forced to live with a cloud over his character Amid frenetic social media speculation and finger pointing, Attorney-General Christian Porter, the nation’s most senior law officer, did the right thing on Wednesday when he identified himself as the cabinet minister at the centre of rape allegations from 33 years ago. He had no alternative. In doing so, he cleared his 16 male cabinet colleagues from a ghastly suspicion that was hanging over them all. Mr Porter was 17 at the	1	coronaviruses covid19; social networks; demonstrations protests
MPs should reflect the community they serve	The Australian	Citizens are entitled to feel pride in their parliament and members For credibility and consistency, the Liberal Party must quickly find a way to achieve its stated target for an equal number of men and women in its parliamentary ranks by 2025. As things stand, one of the Morrison government’s main messages for world leaders is that targets are worthless without action to back them up. Australia’s position on climate change action is that we set achievable targets and find innovative ways to del	7	prime ministers; politics prime; parents parenting
Team Australia digs in for challenge of the century	The Australian	Civil and constructive discourse needed in coronavirus fight In the Prime Minister’s courtyard at Parliament House, our head of government outlined the awful contours and forbidding scale of the health, social and economic calamity of the coronavirus pandemic. “This is a once-in-a-hundred-year type event,” Scott Morrison said, announcing an unprecedented travel ban and harsh restrictions on social contact. “We are going to keep Australia running. We are going to keep Australia functioning. It wo	7	prime ministers; politics prime; parents parenting
Diatribe report for doomsayers	The Australian	Claims that every child faces existential threats are asinine Bad luck, kids. You don’t live in Burundi, Chad, Somalia, the Central African Republic or the Democratic Republic of the Congo. So just suck it up. Failed African states, among the most cruel, corrupt and violent in the world and torn apart by wars and poverty, have been ranked in the top 10 for “sustainability’’ in a new global report. It was released by the World Health Organisation, UNICEF and scientific journal The Lancet, and fun	1	coronaviruses covid19; social networks; demonstrations protests
No nation an island with Covid	The Australian	Close international co-operation on a vaccine is essential Scott Morrison set an example for leaders everywhere when he warned last Friday against the dangers of increasing “vaccine nationalism” in the global battle to defeat COVID-19. “There’s never been a global effort like this,” the Prime Minister said, pledging that if Australian researchers were successful in finding a vaccine, their success would be shared with the rest of the world. With 120 vaccine research projects under way internatio	3	pandemics covid19; coronaviruses pandemics; vaccines coronaviruses
Tense islands in the virus stream, that is what we are	The Australian	Closing state borders is wrecking tourism and supply chains On May 8, Scott Morrison handed over responsibility for reopening Australia’s economy to eight premiers and chief ministers. It wasn’t hand-wringing by the Prime Minister but a passing of the baton and microphone to states and territories for implementing the three-stage recovery plan shaped by national cabinet. That framework for easing restrictions would see a COVID-safe economy operating by July, with a goal of restoring 850,000 jobs	8	gross domestic; domestic product; product gdp
Leadership transcends borders	The Australian	Clumsy overreach only makes it harder to adjust to life with COVID It’s the year 2031 and at last the people have torn down the country’s concrete internal borders, with a wide-eyed child declaring “We did it! The United States of Australia”, and an old chap gently correcting her: “It’s just Australia.” This ad flogging the prosaic lamb chop has struck a chord online because it satirises a maddening reality. Many Australians, never mind their home state, have been victims of bordermania at the h	3	pandemics covid19; coronaviruses pandemics; vaccines coronaviruses
Bad government led to diabolical health outcome	The Australian	Coate inquiry details the rotten core of Victoria’s COVID response Victoria’s hotel quarantine inquiry has failed to uncover who was responsible for a decision that allowed the state’s second wave of the COVID-19 pandemic to spiral out of control with deadly results, but it has damned the Andrews government as irresponsible and incompetent. Premier Daniel Andrews’ apology issued in the wake of the release of the final report on Monday does not reflect the scope of his government’s failure, foren	5	disease transmission; transmission covid19; coronaviruses pandemics
Time to end the free lunch for Google and Facebook	The Australian	Code of conduct must be fair to media players big and small Facebook has a squad of 15,000 people tasked with reviewing content in more than 50 languages on its site but it still can’t stop the use of its platform by mass murderers. The soldier who killed 29 people in Thailand was able to post photographs and videos from the scene. The tech giant’s business model relies on users generating content, with Facebook leveraging that and the data it harvests. That private army of screen jockeys, howev	1	coronaviruses covid19; social networks; demonstrations protests
Puerile encounter reflects low ebb in US political life	The Australian	Coherent arguments were few; there was no knockout blow US voters have good reason to be disappointed in Tuesday’s first election debate between Donald Trump and Joe Biden. What was widely hoped for 33 days out from the election was a respectful, if robust, exchange about vital policy issues and US leadership amid one of the greatest health and economic crises of our times. Instead, as Paul Kelly described it, they got “a spiteful, chaotic, abusive, often-out-of-control brawling encounter” that 	6	political campaigns; diplomatic consular; consular services
Beijing’s bullies are on the nose	The Australian	Collapse in trust is not the fault of China’s oppressed people If Beijing’s loathsome cowboy envoys need a measure of how Australians view their propaganda antics and grubby coercion, they need look no further than the annual Lowy Institute Poll, published on Wednesday. China’s authoritarian regime and its elbows-out minions are on the nose. Less than a quarter of Australians trust China to act responsibly in world affairs and a mere 22 per cent express confidence in President Xi Jinping — both 	3	pandemics covid19; coronaviruses pandemics; vaccines coronaviruses
FROM THE EDITOR	Bay of Plenty Times	Community key in dry timesThe rain was the talk of our towns last weekend and some also witnessed what they thought looked like a small tornado. It turned out to be a lot of show and not enough flow. The entire Coromandel has now been declared as officially experiencing a meteorological drought, whereas last week it had only been declared for the northern half of our district. A reader forwarded a video after she approached the owners of a bach in Whangamata, which was surrounded by verdant lawn	1	coronaviruses covid19; social networks; demonstrations protests
Berejiklian gives a lesson in leadership on Covid-19	The Australian	Competent government has the flexibility to act with compassion Christmas celebrations will be far from normal for residents of Australia’s biggest city this year but the NSW government has shown that compassion does not have to be lost to the pandemic. Rather than a blanket approach like that taken in other states, the Berejiklian government is tackling the northern beaches COVID-19 outbreak with the minimum possible disruption. This has increased the task of government but improved the lot of 	4	pandemics covid19; employment pandemics; coronaviruses employment
Levelling with the public must be the new normal	The Australian	Concealing key details about COVID-19 clusters is not on The figures tell a deadly story that cannot be swept under the carpet by NSW Premier Gladys Berejiklian or anybody else. After the national death toll from COVID-19 reached 21 on Wednesday, Brad Norington revealed on Thursday that close to a quarter of the deceased had been passengers on the cruise ship Ruby Princess. Five passengers, all in their 70s and 80s, died in hospitals in Sydney, Caboolture north of Brisbane, Canberra, Hobart and 	1	coronaviruses covid19; social networks; demonstrations protests
US missing in action on vaccine	The Australian	Concerted global co-operation is needed to fight pandemic Donald Trump is unlikely to find much support for the ho-hum view he expressed in the White House on Friday that we don’t even need a vaccine for COVID-19 to “go away”. “I feel about vaccines like I feel about tests,” he said in comparing COVID-19 with “other viruses and flus” that, he argued, had come and gone. “This is going to go away without a vaccine. It’s going to go away, and we’re not going to see it again,” he insisted. As the co	3	pandemics covid19; coronaviruses pandemics; vaccines coronaviruses
And the winner is ... Test cricket	The Australian	Congratulations, India. We would have liked a different result but the visiting team played better when it mattered, despite painful injuries, rain and playing the final Test on the Gabba wicket pundits said would not suit their style. Day five was a thrill a ball, with the result no foregone conclusion, even well after tea. India’s win by three wickets, late in the day, not only saw them retain the Border-Gavaskar trophy, it ended our 32-year unbeaten streak at the Gabba. Australia, a quality, 	1	coronaviruses covid19; social networks; demonstrations protests
Anti-vax message is a social ill	The Australian	Conspiracy theories take root through peer pressure in online world A striking image from the anti-vaccination demonstrations in state capitals on Saturday was of a pregnant woman wearing a bikini, a unicorn horn and a face mask, and brandishing a sign that said “my body my choice”. Easy to dismiss as the usual rabble in protest-happy Melbourne, where heavy-handed police arrest the working media by mistake. But unicorn woman was far from alone. Thousands of people gathered to demonstrate against	1	coronaviruses covid19; social networks; demonstrations protests
Victorian outbreaks must not risk nation’s recovery	The Australian	Containing local spikes safeguards the wider economy Much of the damage was done a fortnight ago. Sure, Victorian Premier Daniel Andrews urged protesters not to attend the Black Lives Matter march on June 6. But when the event was not stopped, and the tens of thousands of people who broke social-distancing laws were not fined as Victoria Police stood lamely by, many others, fed up with isolation and restrictions, gave up on the rules in disgust. They forgot, or chose to forget, there is no room 	3	pandemics covid19; coronaviruses pandemics; vaccines coronaviruses
Preserving Australian way in time of draconian laws	The Australian	Coronavirus imperils lives, livelihoods and our freedoms Draco was an Athenian of the 7th century BC who drew up a code of laws known for their severity. Nearly every violation was a capital crime. Centuries later, the orator Demades said Draco’s code was written in blood. The brand has been defined down over millennia. We often hear about draconian laws, without anyone being put to death for breaking them. Speaking on Sunday about social distancing to contain the coronavirus, Scott Morrison war	5	disease transmission; transmission covid19; coronaviruses pandemics
Coate hotel inquiry closing in	The Australian	Cox Plate debacle shows worst restrictions should be lifted Victorian Premier Daniel Andrews has much to be sorry about over the past seven months, especially the deaths of almost 800 people during the second wave of COVID-19. Almost all of that wave has been linked to the state’s failed quarantine scheme at the Rydges and Stamford Plaza hotels. But Mr Andrews’ repeated apologies and humiliating backdown over the fiasco surrounding the Cox Plate at Moonee Valley on Saturday should have been avoi	9	hotels motels; economic reform; motels quarantine
Beijing’s assault on rule of law	The Australian	Crackdown in Hong Kong means China cannot be trusted If China’s leaders feel in the least bit abashed by global criticism of their handling of the Wuhan coronavirus outbreak they’re not showing it. The roundup in Hong Kong on Saturday of 15 of the city’s most esteemed citizens, all prominent democracy advocates, showed instead, as US Attorney-General William Barr said, “how antithetical the values of the Chinese Communist Party are to those we share in Western liberal democracies”. Among those a	1	coronaviruses covid19; social networks; demonstrations protests
Markets, technology key to low carbon transition	The Australian	Creative entrepreneurs should capitalise on opportunities In its scoping paper on energy and climate change policy, the Business Council of Australia — the voice of more than 100 of the nation’s largest corporations — argues that the economy’s energy transition needs to be driven by technology that “will not only get us to a net-zero emissions future but will also create new jobs, opportunities and industries, and maintain Australia’s competitiveness”. With healthy profits to be made from harnes	2	climate change; national security; environmental policy
Focus on demand ignores it’s the supply side, stupid	The Australian	Cutting rates won’t address entrenched economic problems Financial markets have spoken, if not screamed. More cuts to official interest rates — now a record low 0.75 per cent — have been locked in by investors. So say overnight index swap rates, forward scouts of cash-rate movements. The markets now are expecting an extreme monetary response, given the central bank has said “unconventional” policy or quantitative easing will kick in when the cash rate hits 0.25 per cent. The Reserve Bank of Aust	4	pandemics covid19; employment pandemics; coronaviruses employment
Mass confusion deepens Victorian Covid damage	The Australian	Daniel Andrews must come clean on strategy and mistakes If Victoria were a country, the increase in its COVID-19 caseload since late June, 570 per cent, would rank as the 13th-highest in the world, slightly worse than Madagascar, Angola and Libya. A desperate situation calls for desperate measures. But however long it takes for transmissions to taper off — and modelling varies on that point — the costs and pain of stage-four restrictions are being exacerbated as the “state of desperation” degene	1	coronaviruses covid19; social networks; demonstrations protests
Confident leaders have more faith in their teams	The Australian	Daniel Andrews promises Victoria more uncertainty over lockdowns The only guarantee for Victorians who were released from a five-day COVID-19 lockdown at midnight on Wednesday is that another statewide lockdown could be just around the corner. As businesses count their losses and citizens prepare to resume social activity, Premier Daniel Andrews is using mind games and trickery to defend past actions while warning of more disruption to come. “I can provide no guarantee (another lockdown won’t ha	5	disease transmission; transmission covid19; coronaviruses pandemics
Hong Kong diktat a mark of China’s wilful outlook	The Australian	Daniel Andrews was not elected to determine foreign policy The “deep concern” about China’s assault on Hong Kong’s democratic freedoms expressed by Foreign Minister Marise Payne and her UK and Canadian counterparts is important. As the ministers said, making such a law on Hong Kong’s behalf without the direct participation of its people, legislature or judiciary undermines the principle of “one country, two systems’’, under which Hong Kong is guaranteed a high degree of autonomy. Donald Trump an	2	climate change; national security; environmental policy
Pell’s High Court acquittal revives reasonable doubt	The Australian	Decision asks serious questions of Victoria’s legal processes The unanimous decision by the High Court of Australia to quash five child sexual abuse convictions of Cardinal George Pell is an emphatic verdict rooted in evidence, judicial precedents and the law. As the court said, there is “a significant possibility that an innocent person has been convicted because the evidence did not establish guilt to the requisite standard of proof”. That fundamental standard is beyond reasonable doubt, and t	1	coronaviruses covid19; social networks; demonstrations protests
Facts not fallacies critical to good policy and debate	The Australian	Decisions on economics and climate need logic, not emotion Progressive, woke activists have much in common with Hanrahan, bush poet John O’Brien’s pessimist, who, in “accents all forlorn’’, lamented “We’ll all be rooned’’. In the lap of luxury at the World Economic Forum in Davos on Wednesday, Prince Charles demanded “a new economic model or the planet will burn’’. The heir to the throne — whose rhetoric is prompting even rusted-on monarchists to reconsider their future allegiances — greeted hab	2	climate change; national security; environmental policy
Jobs reward for growth post-Covid	The Australian	Demand, confidence and investment are key to rebuilding As the growth of Victoria’s COVID-19 caseload slows down, gradually and painfully, it is encouraging to see business leaders, among others, developing constructive proposals for rebuilding our ravaged economy through reform. Come next year, when government borrowings, support measures and stimulus, of necessity, will need to be wound back, growth strategies will be the lifeblood of recovery. Writing on Monday, Wesfarmers chief executive Rob	9	hotels motels; economic reform; motels quarantine
Putting Humpty together again	The Australian	Demand, confidence and investment will be key post-Covid As the growth of Victoria’s COVID-19 caseload slows down, gradually and painfully, it is encouraging to see business leaders, among others, developing constructive proposals for rebuilding our ravaged economy through reform. Come next year, when government borrowings, support measures and stimulus, of necessity, will need to be wound back, growth strategies will be the lifeblood of recovery. Writing on Monday, Wesfarmers chief executive Ro	9	hotels motels; economic reform; motels quarantine
Comrade Dan follows Silk Road	The Australian	Dependency on China is high-risk for nations and our states The juxtaposition of two exclusives on Thursday’s front page was telling. In the first story, Damon Johnston and Rachel Baxendale revealed Victoria is locked in final-stage negotiations with Beijing over an investment road map, as part of the communist regime’s pushy Belt and Road Initiative. In the second, below a picture of Victorian Premier Daniel Andrews at Tiananmen Square, Greg Sheridan reported on a new study showing Australia wa	3	pandemics covid19; coronaviruses pandemics; vaccines coronaviruses
Kicking its house into touch	The Australian	Devoted rugby fans, and those who love the big games, miss the excitement of our World Cup victories in 1991 and 1999 and the painful thrill of the 2003 Sydney final when Jonny Wilkinson snatched glory for England with a drop goal in the final seconds. We want those exciting days back, which is why after some lean and controversial years, the code needs its house in order. The first challenge for its new chairman, likely to be businessman Hamish McLennan, is to put Rugby Australia’s financial ho	1	coronaviruses covid19; social networks; demonstrations protests
Belt and Road brings China to PNG and our doorstep	The Australian	Diplomats must work to keep neighbourly relations on track An offer by a Chinese government-backed company to build a $US30bn ($39.3bn) city in one of the most impoverished areas of Papua New Guinea appears to be a classic case of debt-trap diplomacy. But however absurd and unlikely the proposition might be, the planned location for the metropolis, only kilometres from Australian territory, means it must be taken seriously. News of the city plan follows the signing in December of a memorandum of	6	political campaigns; diplomatic consular; consular services
UQ emulates China on dissent	The Australian	Disciplining a student protester insults academic tradition Nine months ago, University of Queensland chancellor and former top diplomat Peter Varghese called on the Morrison government to work with universities to draw “red lines” around areas of research which should not be shared with Chinese counterparts. Besotted as they are with China, UQ chiefs should draw a red line through their repressive behaviour towards 20-year-old philosophy student Drew Pavlou. He has had 11 alleg­ations of miscon	1	coronaviruses covid19; social networks; demonstrations protests
